id,brand,model,date,year,display_size_inches,display_size_inches_scale,internal_memory_in_gb,internal_memory_in_gb_scale,primary_camera_mega_pixel,primary_camera_mega_pixel_scale,primary_camera,loud_speaker,gps,colors,approx_price_eur,approx_price_eur_scale,announced,battery_mah,battery_mah_scale,ram_in_gb,ram_in_gb_scale
Lava A59,Lava,A59,2016-05-01,2016.0,4.5,-0.7082650311829171,4.0,-0.698966694447992,5.0,-1.269372149066779,5 MP| LED flash,Yes,No,Black| White,,,2016  May,1750.0,-1.0879237517956353,0.4980544747081712,-0.44617116470241375
Lava A67,Lava,A67,2016-05-01,2016.0,5.0,-0.2538279384727618,4.0,-0.698966694447992,5.0,-1.269372149066779,5 MP| LED flash,Yes,Yes with A-GPS,White| Gold| Gray,,,2016  May,2000.0,-0.8497811833043578,0.4980544747081712,-0.44617116470241375
Lava V2 s,Lava,V2 s,2016-04-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,8.0,-0.5836510874783918,8 MP| f/2.0| autofocus| dual-LED flash,Yes,Yes with A-GPS,White| Black,,,2016  April,2500.0,-0.3734960463218029,2.0,-0.12251921162841899
Lava V2 3GB,Lava,V2 3GB,2016-03-01,2016.0,5.0,-0.2538279384727618,16.0,-0.32885240004927585,13.0,0.5592173485022539,13 MP| f/2.0| autofocus| dual-LED flash,Yes,Yes with A-GPS,White| Black,,,2016  March,2500.0,-0.3734960463218029,3.0,0.09296926490012156
Lava A76,Lava,A76,2016-04-01,2016.0,4.5,-0.7082650311829171,8.0,-0.5755952629817532,5.0,-1.269372149066779,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2016  April,1850.0,-0.9926667243991243,1.0,-0.33800768815695953
Lava A72,Lava,A72,2016-04-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,5.0,-1.269372149066779,5 MP| LED flash,Yes,Yes with A-GPS,Dark blue,,,2016  April,2500.0,-0.3734960463218029,1.0,-0.33800768815695953
Lava X11,Lava,X11,2016-02-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,8.0,-0.5836510874783918,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,White,,,2016  February,2500.0,-0.3734960463218029,2.0,-0.12251921162841899
Lava A88,Lava,A88,2016-02-01,2016.0,5.0,-0.2538279384727618,4.0,-0.698966694447992,5.0,-1.269372149066779,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2016  February,2000.0,-0.8497811833043578,0.4980544747081712,-0.44617116470241375
Lava Iris Fuel F2,Lava,Iris Fuel F2,2016-03-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,,,5MP| LED flash,Yes,Yes with A-GPS,Black| White,60.0,-1.1589059783697186,2016  March,3000.0,0.10278909066075198,0.4980544747081712,-0.44617116470241375
Lava A71,Lava,A71,2016-02-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,5.0,-1.269372149066779,5 MP| LED flash,Yes,Yes with A-GPS,Dark blue,,,2016  February,2500.0,-0.3734960463218029,1.0,-0.33800768815695953
Lava P7,Lava,P7,2016-01-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,5.0,-1.269372149066779,5 MP| LED flash,Yes,Yes with A-GPS,Blue Black| Pearl white| Champagne Gold,,,2016  January,2000.0,-0.8497811833043578,1.0,-0.33800768815695953
Lava V5,Lava,V5,2016-01-01,2016.0,5.5,0.20060915423739348,16.0,-0.32885240004927585,13.0,0.5592173485022539,13 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash,Yes,Yes with A-GPS GLONASS,White,150.0,-0.6498495335773214,2016  January,3000.0,0.10278909066075198,3.0,0.09296926490012156
Lava X3,Lava,X3,2016-01-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,8.0,-0.5836510874783918,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,White/Silver| Blue/Black| White/Gold,100.0,-0.9326586695730977,2016  January,2500.0,-0.3734960463218029,2.0,-0.12251921162841899
Lava Iris Atom 3,Lava,Iris Atom 3,2015-12-01,2015.0,5.0,-0.035183533822671566,8.0,-0.38904700533904973,5.0,-0.9202902712774985,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2015  December,2000.0,-0.5203832802293027,0.4980544747081712,-0.9876625557641271
Lava Iris Atom,Lava,Iris Atom,2015-12-01,2015.0,4.0,-0.8206955104597612,8.0,-0.38904700533904973,5.0,-0.9202902712774985,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2015  December,1550.0,-0.9992765879456932,0.4980544747081712,-0.9876625557641271
