id,brand,model,date,year,display_size_inches,internal_memory_in_gb,primary_camera_mega_pixel,primary_camera,loud_speaker,gps,colors,approx_price_eur,announced,battery_mah,ram_in_gb
BLU Dash 5.0,BLU,Dash 5.0,2013-09-01,2013.0,5.0,4.0,5.0,5 MP| LED flash,Yes,Yes with A-GPS,Black| White| Blue| Silver| Pink| Yellow,100.0,2013  August,2000.0,0.4980544747081712
BLU Dash Music 4.0,BLU,Dash Music 4.0,2013-09-01,2013.0,4.0,4.0,15.0,3.15 MP,Yes with stereo speakers,Yes with A-GPS,Black| White| Blue| Silver| Pink| Yellow,80.0,2013  August,1500.0,0.4980544747081712
BLU Dash JR,BLU,Dash JR,2013-09-01,2013.0,3.5,0.4980544747081712,2.0,2 MP,Yes,Yes with A-GPS,Black| White| Blue| Silver| Pink| Yellow,40.0,2013  August,1000.0,0.2490272373540856
BLU Dash 4.5,BLU,Dash 4.5,2013-07-01,2013.0,4.5,4.0,5.0,5 MP| LED flash,Yes,Yes with A-GPS,Black,100.0,2013  July,2000.0,0.4980544747081712
BLU Amour,BLU,Amour,2013-05-01,2013.0,4.0,4.0,5.0,5 MP| LED flash,Yes,Yes with A-GPS,White,100.0,2013  May. Released 2013  May,1600.0,0.4980544747081712
BLU Studio 5.3 S,BLU,Studio 5.3 S,2013-05-01,2013.0,5.3,4.0,8.0,8 MP| autofocus| dual-LED flash,Yes,Yes with A-GPS,Black| White,130.0,2013  April,2800.0,1.0
BLU Studio 5.0 S,BLU,Studio 5.0 S,2013-05-01,2013.0,5.0,4.0,8.0,8 MP| autofocus| dual-LED flash,Yes,Yes with A-GPS,Black| White,130.0,2013  April,2000.0,1.0
BLU Studio 5.0,BLU,Studio 5.0,2013-05-01,2013.0,5.0,4.0,5.0,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,100.0,2013  April,2000.0,0.4980544747081712
BLU Dash Music,BLU,Dash Music,2013-05-01,2013.0,3.5,0.4980544747081712,2.0,2 MP. LED flash,Yes,Yes with A-GPS,Black,80.0,2013  April,1500.0,0.2490272373540856
BLU Diva X,BLU,Diva X,2013-05-01,2013.0,2.8,0.0622568093385214,3.0,1.3 MP| LED flash,Yes,No,Black| Blue| Pink| Silver| White,30.0,2013  April,1400.0,0.0622568093385214
BLU Diva,BLU,Diva,2013-04-01,2013.0,2.4,0.0311284046692607,,VGA,Yes,No,Black| Blue| Pink| Silver| White,30.0,2013  April,820.0,0.0311284046692607
BLU Tattoo S,BLU,Tattoo S,2013-03-01,2013.0,2.0,0.0622568093385214,3.0,1.3 MP,Yes,No,Blue| Pink| Grey| Silver,20.0,2013  March,620.0,0.0622568093385214
BLU Life View,BLU,Life View,2013-04-01,2013.0,5.7,16.0,12.0,12 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,230.0,2013  March. Released 2013  April,2600.0,1.0
BLU Life One,BLU,Life One,2013-04-01,2013.0,5.0,16.0,13.0,13 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,230.0,2013  March. Released 2013  April,2000.0,1.0
BLU Life Play,BLU,Life Play,2013-04-01,2013.0,4.7,4.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,180.0,2013  March. Released 2013  April,1800.0,1.0
BLU Studio 5.3 II,BLU,Studio 5.3 II,2013-02-01,2013.0,5.3,4.0,8.0,8 MP| autofocus| dual-LED flash,Yes,Yes with A-GPS,Black| White,160.0,2013  February. Released 2013  February,2200.0,0.4980544747081712
BLU Tank 4.5,BLU,Tank 4.5,2013-02-01,2013.0,4.5,4.0,5.0,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,200.0,2013  February. Released 2013  February,1760.0,0.4980544747081712
BLU Quattro 5.7 HD,BLU,Quattro 5.7 HD,2013-02-01,2013.0,5.7,4.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black,220.0,2013  February. Released 2013  February,2800.0,1.0
BLU Quattro 4.5 HD,BLU,Quattro 4.5 HD,2013-02-01,2013.0,4.5,16.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black,260.0,2013  February. Released 2013  February,1800.0,1.0
BLU Quattro 4.5,BLU,Quattro 4.5,2013-02-01,2013.0,4.5,4.0,5.0,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black,180.0,2013  February. Released 2013  February,1800.0,1.0
BLU Hero II,BLU,Hero II,2013-01-01,2013.0,3.5,0.1245136186770428,3.0,1.3 MP,Yes,No,Blue| Pink| Silver| Dark grey,50.0,2012  December,1100.0,0.0622568093385214
BLU Dash 4.0,BLU,Dash 4.0,2013-09-01,2013.0,4.0,4.0,5.0,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,90.0,2012  December. Released 2013  September,1500.0,0.4980544747081712
BLU Dash 3.2,BLU,Dash 3.2,2012-12-01,2012.0,3.2,0.4980544747081712,3.0,1.3 MP,Yes,Yes with A-GPS,Black| White| Pink| Blue,70.0,2012  December. Released 2012  December,1280.0,0.2490272373540856
BLU Brooklyn,BLU,Brooklyn,2013-01-01,2013.0,2.4,0.1245136186770428,3.0,1.3 MP,Yes,No,Blue| Pink| Silver| Dark grey,,2012  November,750.0,0.0622568093385214
BLU Vivo 4.65 HD,BLU,Vivo 4.65 HD,2013-01-01,2013.0,4.65,4.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black,210.0,2012  December. Released 2013  January,1600.0,1.0
BLU Touch Book 7.0 Plus,BLU,Touch Book 7.0 Plus,2012-10-01,2012.0,7.0,0.4980544747081712,15.0,3.15 MP,Yes,Yes with A-GPS,Black,70.0,2012  September,3500.0,0.4980544747081712
BLU Dash 3.5,BLU,Dash 3.5,2012-09-01,2012.0,3.5,0.4980544747081712,15.0,3.15 MP,Yes,Yes with A-GPS,Black| White,70.0,2012  September. Released 2012  September,1300.0,0.2490272373540856
BLU Elite 3.8,BLU,Elite 3.8,2012-08-01,2012.0,3.8,1.0,5.0,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,130.0,2012  July. Released 2012  August,1600.0,0.4980544747081712
BLU Dash,BLU,Dash,2012-03-01,2012.0,2.8,0.4980544747081712,2.0,2 MP,Yes,Yes,Black| Blue| White| Pink,70.0,2011  December. Released 2012  March,1110.0,0.2490272373540856
BLU Hero,BLU,Hero,2011-12-01,2011.0,2.8,0.0622568093385214,3.0,1.3 MP,Yes,No,Black| Blue| Pink| Brown| White| Green,40.0,2011  November,950.0,0.0311284046692607
BLU Jenny TV,BLU,Jenny TV,2012-08-01,2012.0,2.4,0.0311284046692607,,VGA,Yes,No,White| Black| Red| Yellow| Blue,30.0,2012  June,820.0,0.0311284046692607
BLU Vivo 4.3,BLU,Vivo 4.3,2012-09-01,2012.0,4.3,4.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,170.0,2012  July. Released 2012  September,1600.0,0.4980544747081712
BLU Tank,BLU,Tank,2012-06-01,2012.0,1.8,0.01556420233463035,,VGA,Yes,No,Electric Blue| Red| Yellow| White| All White| Pink,20.0,2012  June,1800.0,0.0311284046692607
BLU Jenny,BLU,Jenny,2012-06-01,2012.0,1.8,0.01556420233463035,,VGA,Yes,No,White| Black| Red| Yellow| Blue,20.0,2012  June,900.0,0.0311284046692607
BLU Studio 5.3,BLU,Studio 5.3,2012-01-01,2012.0,5.3,0.4980544747081712,5.0,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black,170.0,2011  December,2500.0,0.4980544747081712
BLU Touch Book 7.0,BLU,Touch Book 7.0,2011-12-01,2011.0,7.0,0.4980544747081712,15.0,3.15 MP,Yes,Yes,Black,120.0,2011  August,4250.0,0.4980544747081712
BLU Neo Pro,BLU,Neo Pro,2012-03-01,2012.0,2.8,1.0,15.0,3.15 MP,Yes,No,Black| Red| Blue| Silver,,2011  August,900.0,0.2490272373540856
BLU Neo XT,BLU,Neo XT,2012-03-01,2012.0,3.0,1.0,15.0,3.15 MP| LED flash,Yes,No,Black,70.0,2011  August,820.0,0.2490272373540856
BLU Neo,BLU,Neo,2012-03-01,2012.0,2.8,0.2490272373540856,2.0,2 MP,Yes,No,Black| Red| Blue| Silver,70.0,2011  August,820.0,0.0622568093385214
BLU Deco Pro,BLU,Deco Pro,2011-09-01,2011.0,2.6,1.0,2.0,3.2 MP,Yes,No,Black| White,60.0,2011  July,1200.0,0.2490272373540856
BLU Deco XT,BLU,Deco XT,2011-09-01,2011.0,2.31,1.0,2.0,2 MP,Yes,No,Black| White,70.0,2011  July,800.0,0.2490272373540856
BLU Deco,BLU,Deco,2011-09-01,2011.0,2.31,0.2490272373540856,2.0,2 MP,Yes,No,Black| White| Orange,,2011  July,800.0,0.0622568093385214
BLU Deco Mini,BLU,Deco Mini,2011-09-01,2011.0,2.0,0.0622568093385214,3.0,1.3 MP,Yes,No,Yellow| Green| Orange| White| Electric Blue| Fucsia| Black,30.0,2011  July,850.0,0.0311284046692607
BLU Electro,BLU,Electro,2011-09-01,2011.0,2.2,0.1245136186770428,3.0,1.3 MP,Yes,No,Orange| Pink| Violet| Cyan,40.0,2011  July,1050.0,0.0622568093385214
BLU Spark,BLU,Spark,2011-09-01,2011.0,2.4,0.0622568093385214,3.0,1.3 MP,Yes,No,Coffee| Violet| Pink| Green| Cyan,40.0,2011  July,900.0,0.0311284046692607
BLU Deejay Touch,BLU,Deejay Touch,2011-09-01,2011.0,2.6,0.2490272373540856,3.0,1.3 MP,Yes,No,Black| Pink| Light blue| Purple| Violet| Silver,40.0,2011  July,750.0,0.0622568093385214
BLU Deejay Flip,BLU,Deejay Flip,2011-09-01,2011.0,2.0,0.0622568093385214,3.0,1.3 MP,Yes,No,Blue| Red| Purple| Green| Yellow,,2011  July,700.0,0.0311284046692607
BLU Tattoo Mini,BLU,Tattoo Mini,2011-09-01,2011.0,2.0,0.0622568093385214,3.0,1.3 MP,Yes,No,Silver| Pink,30.0,2011  July,750.0,0.0311284046692607
BLU Samba Elite,BLU,Samba Elite,2011-09-01,2011.0,2.0,0.2490272373540856,2.0,2 MP,Yes,No,Black| Silver| Grey| Pink| Blue| Violet,50.0,2011  July,750.0,0.0622568093385214
BLU Samba JR,BLU,Samba JR,2011-09-01,2011.0,1.77,0.0622568093385214,,,Yes,No,Light blue| Red| Silver| Violet| Magenta| Green,30.0,2011  July,850.0,0.0311284046692607
BLU Lindy,BLU,Lindy,2011-09-01,2011.0,1.77,0.0622568093385214,,,Yes,No,Blue| Silver| Black| Light Blue| Pink,,2011  July,750.0,0.0311284046692607
BLU Swing,BLU,Swing,2011-09-01,2011.0,1.77,0.1245136186770428,3.0,1.3 MP,Yes,No,Black| White,40.0,2011  July,560.0,0.0622568093385214
BLU Bar Q,BLU,Bar Q,2011-09-01,2011.0,1.77,0.0622568093385214,3.0,1.3 MP,Yes,No,Black| White| Red| Light Blue| Violet| Yellow| Green| Pink,,2011  July,800.0,0.0311284046692607
