id,brand,model,date,year,display_size_inches,internal_memory_in_gb,primary_camera_mega_pixel,primary_camera,loud_speaker,gps,colors,approx_price_eur,battery_mah,ram_in_gb,weight,weight_g,weight_oz
Siemens SL45,Siemens,SL45,2000-01-01,2000.0,1.5,,,,No,No,V1,,540.0,,88 g (3.10 oz),88.0,3.1
Siemens A36,Siemens,A36,2000-01-01,2000.0,,,,,No,No,V1,,600.0,,120 g (4.23 oz),120.0,4.23
Siemens M30,Siemens,M30,2000-01-01,2000.0,,,,,No,No,V1,,,,110 g (3.88 oz),110.0,3.88
Siemens C28,Siemens,C28,2000-01-01,2000.0,,,,,No,No,V1,,650.0,,135 g (4.76 oz),135.0,4.76
Sony Xperia 1 II,Sony,Xperia 1 II,2020-05-01,2020.0,6.5,256.0,12.0,"Zeiss optics, LED flash, panorama, HDR, eye tracking","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, BDS, GALILEO","Black, Purple",,4000.0,8.0,181.4 g (6.38 oz),181.4,6.38
Sony Xperia 10 II,Sony,Xperia 10 II,2020-05-01,2020.0,6.0,128.0,12.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS","Black, White, Mint Green, Berry Blue",369.0,3600.0,4.0,151 g (5.33 oz),151.0,5.33
Sony Xperia L4,Sony,Xperia L4,2020-04-01,2020.0,6.2,64.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS","Black, Blue",199.0,3580.0,3.0,178 g (6.28 oz),178.0,6.28
Sony Xperia 5,Sony,Xperia 5,2019-10-01,2019.0,6.1,128.0,12.0,"LED flash, panorama, HDR, eye tracking","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, BDS, GALILEO","Blue, Red, Black, Grey",550.0,3140.0,6.0,164 g (5.78 oz),164.0,5.78
Sony CMD Z7,Sony,CMD Z7,2001-12-01,2001.0,,,,,Yes,No,V1,,,,95 g (3.35 oz),95.0,3.35
Sony CMD J70,Sony,CMD J70,2001-12-01,2001.0,,,,,Yes,No,V1,,,,92 g (3.25 oz),92.0,3.25
Sony CMD J7,Sony,CMD J7,2001-12-01,2001.0,,,,,Yes,No,V1,,,,92 g (3.25 oz),92.0,3.25
Sony CMD MZ5,Sony,CMD MZ5,2001-01-01,2001.0,,,,,No,No,V1,,620.0,,110 g (3.88 oz),110.0,3.88
Sony CMD J6,Sony,CMD J6,2001-01-01,2001.0,,,,,No,No,V1,,,,82 g (2.89 oz),82.0,2.89
Sony CMD Z1 plus,Sony,CMD Z1 plus,1997-01-01,1997.0,,,,,No,No,V1,,600.0,,195 g (6.88 oz),195.0,6.88
Sony CMD Z1,Sony,CMD Z1,1997-01-01,1997.0,,,,,No,No,V1,,730.0,,220 g (7.76 oz),220.0,7.76
Sony CM-DX 2000,Sony,CM-DX 2000,1997-01-01,1997.0,,,,,No,No,V1,,1800.0,,185 g (6.53 oz),185.0,6.53
Sony CM-DX 1000,Sony,CM-DX 1000,1997-01-01,1997.0,,,,,No,No,V1,,1350.0,,235 g (8.29 oz),235.0,8.29
Sony Ericsson Z700,Sony Ericsson,Z700,2002-09-01,2002.0,,,,,Yes,No,V1,,,,95 g (3.35 oz),95.0,3.35
Sony Ericsson Windows Phone 7,Sony Ericsson,Windows Phone 7,,,,,,,Yes,"Yes, with A-GPS",Black,,,,-,,
Spice Mi-285 Stellar,Spice,Mi-285 Stellar,2012-06-01,2012.0,2.8,,15.0,,Yes,Yes,Black,60.0,1400.0,,79 g (2.79 oz),79.0,2.79
T-Mobile Revvlry+,T-Mobile,Revvlry+,2019-07-01,2019.0,6.24,64.0,16.0,"Dual-LED dual-tone flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, GALILEO",Black,,3000.0,4.0,-,,
T-Mobile Revvlry,T-Mobile,Revvlry,2019-07-01,2019.0,5.7,32.0,13.0,"LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS",Black,,3000.0,3.0,-,,
TCL 10 5G,TCL,10 5G,2020-06-01,2020.0,6.53,128.0,64.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QSS","Chrome Blue, Mercury Gray",400.0,4500.0,6.0,210 g (7.41 oz),210.0,7.41
TCL 10 Pro,TCL,10 Pro,2020-05-01,2020.0,6.47,128.0,64.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO","Gray, Green",,4500.0,6.0,177 g (6.24 oz),177.0,6.24
TCL 10L,TCL,10L,2020-05-01,2020.0,6.53,64.0,48.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GALILEO","Arctic White, Mariana Blue",,4000.0,6.0,180 g (6.35 oz),180.0,6.35
TCL Plex,TCL,Plex,2019-10-01,2019.0,6.53,128.0,48.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with A-GPS","Obsidian Black, Opal White",330.0,3820.0,6.0,192 g (6.77 oz),192.0,6.77
TECNO Spark Power 2,TECNO,Spark Power 2,2020-06-01,2020.0,7.0,64.0,16.0,"Quad-LED flash, panorama, HDR","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, GALILEO, BDS","Ice Jadeite, Misty Grey, Fascinating Purple",120.0,6000.0,4.0,220 g (7.76 oz),220.0,7.76
TECNO Spark 5 Air,TECNO,Spark 5 Air,2020-06-01,2020.0,7.0,32.0,13.0,"Quad-LED flash, panorama, HDR",Yes,"Yes, with A-GPS","Ice Jadeite, Spark Orange, Vacation Blue, Misty Green",,5000.0,2.0,-,,
TECNO Spark 5,TECNO,Spark 5,2020-05-01,2020.0,6.6,32.0,13.0,"Quad-LED flash, panorama, HDR",Yes,"Yes, with A-GPS","Ice Jadeite, Spark Orange, Vacation Blue, Misty Grey",120.0,5000.0,2.0,-,,
TECNO Camon 15 Premier,TECNO,Camon 15 Premier,2020-04-01,2020.0,6.6,128.0,64.0,"Quad-LED flash, panorama, HDR",Yes,"Yes, with A-GPS","Ice Jadeite, Opal White",,4000.0,6.0,203 g (7.16 oz),203.0,7.16
TECNO Camon 15 Air,TECNO,Camon 15 Air,2020-04-01,2020.0,6.6,64.0,48.0,"Quad-LED flash, panorama, HDR",Yes,"Yes, with A-GPS","Malachite Blue, Ice lake Blue, Misty Gray",,5000.0,3.0,-,,
TECNO Camon 15 Pro,TECNO,Camon 15 Pro,2020-02-01,2020.0,6.6,128.0,48.0,"Dual-LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Ice Jadeite, Opal White",220.0,4000.0,6.0,203 g (7.16 oz),203.0,7.16
TECNO Camon 15,TECNO,Camon 15,2020-02-01,2020.0,6.6,64.0,48.0,"Quad-LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS","Shoal Gold, Fascinating Purple, Jade",,5000.0,4.0,196 g (6.91 oz),196.0,6.91
TECNO Camon 12 Air,TECNO,Camon 12 Air,2019-10-01,2019.0,6.55,32.0,16.0,"Quad-LED flash, panorama, HDR",Yes,"Yes, with A-GPS","Ocean Blue, Alpenglow Gold, Stellar Purple",,4000.0,3.0,181 g (6.38 oz),181.0,6.38
TECNO Pop 3 Plus,TECNO,Pop 3 Plus,2019-12-01,2019.0,6.52,16.0,8.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS","Midnight Black, Vacation Blue, Hillier Purple",,4000.0,1.0,180.5 g (6.38 oz),180.5,6.38
TECNO Spark 4 Lite,TECNO,Spark 4 Lite,2019-12-01,2019.0,6.52,32.0,8.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS","Midnight Black, Vacation Blue, Hillier Purple",,4000.0,2.0,-,,
TECNO Camon 12 Pro,TECNO,Camon 12 Pro,2019-09-01,2019.0,6.35,64.0,16.0,"Quad-LED flash, panorama, HDR",Yes,"Yes, with A-GPS",Dawn Blue,,3500.0,6.0,161 g (5.68 oz),161.0,5.68
TECNO Camon 12,TECNO,Camon 12,2019-08-01,2019.0,6.52,64.0,16.0,"Quad-LED flash, panorama, HDR",Yes,"Yes, with A-GPS","Dawn Blue, Dark Jade, Sky Cyan",,4000.0,4.0,170.7 g (6.03 oz),170.7,6.03
TECNO Pouvoir 3 Air,TECNO,Pouvoir 3 Air,2019-08-01,2019.0,6.0,16.0,8.0,LED flash,Yes,"Yes, with A-GPS","Champagne Gold, Midnight Black, Aqua Blue",,5000.0,1.0,-,,
TECNO Pouvoir 3 Plus,TECNO,Pouvoir 3 Plus,2019-08-01,2019.0,6.35,64.0,32.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with A-GPS","Gold, Black, Blue",,6000.0,6.0,-,,
TECNO Pouvoir 3,TECNO,Pouvoir 3,2019-06-01,2019.0,6.2,32.0,13.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with A-GPS","Gold, Black, Blue",,5000.0,2.0,168 g (5.93 oz),168.0,5.93
TECNO Spark 3,TECNO,Spark 3,2019-04-01,2019.0,6.2,16.0,13.0,Dual-LED flash,Yes,"Yes, with A-GPS","Midnight Black, Champagne Gold, Aqua Blue, Bordeaux Red",,3500.0,2.0,-,,
TECNO Spark 3 Pro,TECNO,Spark 3 Pro,2019-04-01,2019.0,6.2,32.0,13.0,Dual-LED flash,Yes,"Yes, with A-GPS","Midnight Black, Champagne Gold, Nebula Black",,3500.0,2.0,-,,
TECNO Spark Go,TECNO,Spark Go,2019-08-01,2019.0,6.1,16.0,8.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with A-GPS","Nebula Black, Royal Purple",,3000.0,1.0,174 g (6.14 oz),174.0,6.14
TECNO Pop 2 F,TECNO,Pop 2 F,2019-05-01,2019.0,5.45,16.0,5.0,"Dual-LED flash, HDR",Yes,"Yes, with A-GPS","Midnight Black, Champagne Gold, City Blue",,2400.0,1.0,155 g (5.47 oz),155.0,5.47
TECNO Pop 2 Plus,TECNO,Pop 2 Plus,2019-05-01,2019.0,6.0,16.0,5.0,"Dual-LED flash, HDR",Yes,"Yes, with A-GPS","Midnight Black, Champagne Gold, Nebula Black",,5000.0,1.0,205 g (7.23 oz),205.0,7.23
